dataset,vertices,edges,density,execution_time_ms,peak_memory_kb,reachable_pairs,unreachable_pairs,average_distance,minimum_distance,maximum_distance,baseline_time_ms,distances_match,query_source,query_target,query_distance,query_path
rede_desconexa_40.json,40,97,6.217948717948718,1.6603890035185032,62.3515625,756,804,52.15608465608466,2.0,130.0,4.728976004116703,True,P001,P040,inf,
rede_logistica_30.json,30,106,12.183908045977011,1.6858040035003796,46.6015625,870,0,51.92298850574713,2.0,146.0,5.419229004473891,True,P001,P030,74.0,P001 → P009 → P024 → P025 → P029 → P030
rede_regional_100.json,100,430,4.343434343434343,108.54091600049287,480.8359375,9900,0,51.12535353535353,2.0,125.0,110.03020699718036,True,P001,P100,57.0,P001 → P044 → P050 → P058 → P100
rede_urbana_60.json,60,280,7.909604519774012,15.446962999703828,175.3515625,3540,0,42.572598870056495,2.0,94.0,25.20721700420836,True,P001,P060,36.0,P001 → P019 → P059 → P060
