vertices,edges,median_ms,ms_per_n3,repeats,time_ratio,loglog_slope
10,90,0.125994993140921,0.000125994993140921,3,,
20,380,0.8427150023635477,0.00010533937529544346,3,6.688480084450661,2.74167840462549
40,1560,5.93469399609603,9.272959368900047e-05,3,7.042349999051993,2.816056929749868
80,6320,44.85169799590949,8.760097264826072e-05,3,7.557541808459527,2.9179170548904145
160,25440,351.5724210010376,8.583311059595644e-05,3,7.838553203339175,2.9705873942657686
320,102080,2829.3742329988163,8.634564920040333e-05,3,8.047770712340562,3.0085892021512137
